 Date , SP500 , MSFT-US , AAPL-US , AMZN-US , BRK.B-US , FB-US , JNJ-US , JPM-US , GOOG-US , GOOGL-US , XOM-US , BAC-US , UNH-US , PFE-US , V-US , VZ-US , PG-US , T-US , INTC-US , CVX-US , WFC-US , NTRS-US , SBAC-US , ROK-US , CLX-US , FE-US , MAT-US , UAA-US , NFX-US , COTY-US , NWS-US 
 24/01/2017 ,0.0053751,0.0050633,0.0035131,0.0005353,0.0091674,-0.0000773,-0.010185,0.009533,0.0019093,0.0030107,0.0012941,0.0150375,0.0067142,-0.0079618,0.0100729,-0.0026865,0.0073379,-0.0009663,0.0211725,0.0044887,0.0062544,0.0056612,-0.0053507,0.0113937,0.0042941,-0.0030334,0.0307337,0.0035162,0.0194665,0.0117146,0.020243
 25/01/2017 ,0.0041461,-0.0042221,0.0121242,0.0129936,0.0138889,0.0113846,0.0077727,0.0022134,0.0072925,0.0057407, -   ,0.0021442,0.0026117,-0.0022322,0.0013131,0.0054546,-0.0077413,0.0014519,-0.0018486,0.0029085,0.0223907,-0.0010692,0.0002899,0.0090344,-0.001069,0.0088016,0.0105667,0.018422,0.0011779,0.0214435,0.0079363
 26/01/2017 ,-0.0008483,0.0023393,0.0022192,0.0043326,0.0002426,0.0087366,-0.0014286,0.0093077,-0.0067557,-0.0024096,-0.0010503,0.0012814,0.0054986,-0.0038217,-0.0081032,0.0075896,-0.0059688,0.0145739,-0.0068746,-0.0080852,0.0100687,-0.0030875,0.0144073,-0.0048803,0.0028028,0.0013432,-0.046938,-0.0071575,-0.0124151,0.005136,-0.0156863
 27/01/2017 ,-0.0018834,0.0059642,-0.0015557,-0.0038498,-0.0032135,-0.0037685,0.0123214,0.0031156,-0.0136574,-0.0162631,0.0024621,-0.0029878,-0.0031192,-0.0015887,0.0054007,0.0050657,0.0031231,0.0007147,-0.0005264,0.0022902,-0.0077153,-0.0038096,-0.0114975,-0.0110862,-0.0065138,0.0033458,0.0168906, -   ,-0.0026259,-0.0045941,0.0079681
 30/01/2017 ,-0.0022353,-0.0085249,0.0057884,-0.0031453,0.0036541,-0.00456,-0.002381,-0.0018564,-0.0151474,-0.0158053,-0.0065558,-0.0107762,-0.0052168,-0.0050842,0.0027554,-0.0024248,-0.0003459,-0.0028614,-0.0084791,-0.0117542,-0.0007127,-0.0020403,0.0023064,-0.0067854,-0.0052916,-0.0106172,-0.0146013,-0.0041294,-0.0362719,-0.0283503, -   
 31/01/2017 ,0.0021328,-0.0032376,0.0016507,-0.0003278,-0.0030369,0.0011523,0.0040782,-0.0113316,-0.0000878,0.000842,-0.0135232,-0.0057094,0.0029699,0.0232182,0.007062,-0.0040643,0.0111971,0.0115165,-0.0107467,-0.0048263,0.0062522,0.0015694,0.0076584,-0.0086414,-0.0036533,0.0164263,-0.0030431,0.0233333,0.0002496,0.0185676,-0.003937
 01/02/2017 ,-0.0026426,-0.0120427,0.0135401,0.0037867,-0.0069196,0.0074102,0.0066679,-0.0068976,-0.0049832,-0.0106311,-0.0126191,-0.0034826,-0.0002459,0.0050777,-0.0055491,-0.0192541,0.003447,-0.0052036,-0.0081479,-0.0017986,-0.0111425,-0.0053725,-0.0181509,-0.0037759,0.0091108,-0.0083084,-0.0293,-0.0096998,-0.0136004,-0.0094144,0.0039526
 02/02/2017 ,0.0018272,-0.0012648,0.0043369,0.0040163,-0.0018982,-0.0178652,0.0066479,0.0029642,0.0059587,0.004,0.0028843,-0.0008794,-0.0108296,0.0082617,0.0019482,-0.0053565,0.0017123,-0.0199906,0.0115832,0.0093551,0.0033294,0.0025419,0.0046194,0.0053107,-0.0080027,0.0016723,0.0070339,-0.0323336,0.0152882,0.0205913,-0.0078738
 03/02/2017 ,0.0038802,0.0028346,0.0060011,0.0043138,-0.0003659,-0.0019811,0.0012334,0.0114863,-0.001868,-0.0036446,-0.0019116,0.0060476,0.0045925,-0.0009339,0.0039655,0.0026832,-0.0080571,-0.0055449,-0.0046333,0.0103192,0.0068565,0.0063193,0.0031321,0.0108012,0.0257377,0.0074148,-0.0011605,0.0014514,0.0289174, -   , -   
 06/02/2017 ,-0.0007497,0.0022048,0.0089832,-0.0026673,-0.0028069,0.0082455,-0.0005289,-0.0002304,0.0020508,0.0008527,-0.0028726,-0.0012959,-0.0061915,0.0071876,-0.0027883,-0.0131498,-0.001143,-0.0050887,-0.0065736,-0.0026483,-0.0092853,0.0053506,-0.0100512,0.0057006,-0.0138624,-0.0033355,-0.0099313,-0.0171756,-0.0232726,-0.0020703,-0.0039684
