Date,SP500,MSFT-US,AAPL-US,AMZN-US,BRK.B-US,FB-US,JNJ-US,GOOGL-US,XOM-US,UNH-US,PFE-US,V-US,VZ-US,PG-US,T-US,INTC-US,CVX-US,SBAC-US,ROK-US,CLX-US,FE-US,MAT-US,UAA-US,NFX-US,COTY-US,NWS-US
19/01/2017,0.01165104,0.02313617,0.02077039,0.03274074,0.02132819,0.02534508,-0.01639351,0.03552473,-0.00732838,0.02218842,-0.02401752,0.02579778,-0.05290197,0.02989492,0.01222807,0.03533258,0.0116489,-0.03289105,0.09098051,0.01146204,-0.02741517,0.03306063,-0.00946586,0.01747666,0.03169594,0.01195219
20/01/2017,0.01177113,0.02553055,0.0123704,0.02927828,0.02939891,0.03653396,-0.02314606,0.03363929,0.00187246,0.02345617,-0.01387138,0.01400892,-0.06615982,-0.00333752,0.01064613,0.02176284,0.00197741,-0.0135402,0.0846159,0.00621887,-0.017463,-0.13940403,0.00137504,0.00094967,0.045406,0.00803204
23/01/2017,0.01186623,0.04912284,0.01624983,0.03590729,0.02628129,0.03825308,-0.00986814,0.01613737,-0.00198407,0.02755008,-0.00820694,0.02533644,-0.05451789,-0.00424864,0.01326574,0.02454818,-0.01155316,-0.01102766,0.07066742,0.0013296,-0.00530688,-0.11964113,0.00656531,0.01039903,0.02469765,0.0242914
24/01/2017,0.00574104,0.0305379,0.01739841,0.01019465,0.03478588,0.01236667,0.0019483,-0.0273324,-0.00141214,0.01713095,-0.00286628,0.01577665,-0.01761022,-0.00538864,0.01014494,0.01574394,-0.03478612,-0.00343971,0.06323447,-0.00652353,0.00505549,-0.1302049,0.01758087,-0.0358087,0.00372756,0.02833998
25/01/2017,-0.00437332,0.01094612,0.00772281,-0.00279732,0.01320988,0.00246154,0.01179292,-0.03908383,-0.01699082,0.00795925,0.01179825,-0.01288911,-0.00989889,-0.00273216,0.02008238,-0.02772647,-0.04747648,0.0172997,-0.02407022,-0.01315788,0.02640482,-0.16074293,-0.25304136,-0.05583039,0.00418403,0.00396809
26/01/2017,-0.0083006,-0.00842173,0.05819014,-0.00380597,-0.00770257,0.01215528,0.01098228,-0.0509982,-0.0320924,0.00525131,0.01887409,-0.01763604,-0.00738468,0.00241042,0.02161764,-0.03437332,-0.0553192,0.0042545,-0.03845896,-0.00478099,0.00201479,-0.06453986,-0.26925699,-0.06558913,-0.02722145,-0.00392157
27/01/2017,-0.00790337,-0.03395022,0.05231702,0.0011323,-0.01170193,-0.01386795,0.01401799,-0.04742724,-0.02168814,-0.01675839,0.01853381,-0.01224182,-0.02168185,0.01515331,-0.0190567,-0.03473674,-0.01162683,-0.00807678,-0.03142207,-0.00857516,0.00200756,-0.01074853,-0.29110882,-0.03294342,-0.01327219,0.00398423
30/01/2017,0.00499123,-0.03059826,0.06739452,-0.02737095,-0.00158343,-0.00455996,0.00211634,-0.02022555,-0.02200908,-0.00656684,0.03009003,0.03126887,-0.01838761,0.00725973,-0.01645222,-0.02541821,0.00371187,0.01566404,-0.00399147,0.0346422,0.00377059,-0.03332088,-0.28768066, -   , -   ,-0.00787385
31/01/2017,0.00815296,-0.01880963,0.07544361,-0.0195569,-0.00741011,0.01451947,0.00540819,0.00258694,-0.02034356,-0.00686801,0.04993088,0.04505064,-0.02397906,0.0088883,-0.01487527,-0.01856714,0.00974169,-0.00057438,0.00455541,0.02773159,0.01386283,-0.0140739,-0.01904762,0.01597205,0.02281155,-0.01181102
01/02/2017,0.00327705,-0.01437353,0.03542484,-0.02015171,-0.01104704,-0.00310019,0.00889049,0.00634709,-0.01464273,-0.01364065,0.01808957,0.03474036,-0.02634776,0.01126048,-0.02743618,-0.00571727,0.00170846,-0.00935905,0.00734886,0.04747579,0.00880234,-0.01522089,-0.05450346,-0.03511375,0.02092024,-0.00790513
02/02/2017,0.00789743,0.00142292,0.03176424,-0.02017715,-0.00269426,0.00735625,0.00514102,0.01825767,-0.0118366,-0.01359845,0.02129012,0.03591442,-0.00350239,0.00821842,-0.01927668,0.01047199,0.00368797,0.02838995,0.01198333,0.04826325,0.0169056,0.01406792,-0.01218369,-0.0085213,0.05807831,-0.01968495
03/02/2017,0.00844643,0.00881882,0.03650626,0.01814756,0.0002439,0.02209692,0.00511018,0.00841908,-0.01328116,-0.00428224,0.00809458,-0.00186619,0.00743034,0.00624142,-0.00409841,-0.0335242,-0.00133444,0.02154518,0.01498679,0.04426236,0.00707784,-0.00077368,0.05031447,0.0111221,-0.05567011,0.01190459
06/02/2017,0.00951061,0.00787395,0.02759103,0.02180785,0.00079326,0.02450756,0.01568811,0.01696877,-0.00329661,-0.0047055,0.01093737,-0.00197504,0.0063695,0.00537147,0.00266528,-0.03204615,-0.00203028,0.0142234,0.01569322,0.01202984,0.01567725,-0.01718872,0.03053435,0.00215931,-0.05383007,0.07936503
07/02/2017,0.01410359,0.01537499,0.02549328,0.03363359,0.01361675,0.01368724,0.02007048,0.01630527,0.00635536,0.0058367,0.00897272,0.00558399,0.00872649,0.00764497,-0.01046712,-0.01783264,0.00823168,0.04989943,0.01010005,0.0226853,0.0203876,-0.00422748,0.02598653,0.04503608,-0.05162623,0.06374515
08/02/2017,0.02097792,0.02188849,0.03239737,0.02916241,0.02486188,0.00942685,0.02700789,0.01143848,0.01012331,0.0195626,0.02600245,0.01223781,0.00249196,-0.0023845,-0.01020147,-0.01128248,0.02219963,0.03769803,0.01812717,0.0133631,0.01098908,0.00510338,0.06146341,0.13252075,-0.01280735,0.06374515
09/02/2017,0.02288065,0.02205947,0.02932036,0.0256816,0.02355749,-0.00780727,0.03287219,0.00672093,0.016626,0.02463504,0.03874768,0.02737051,-0.00906819,0.03252116,-0.00363471,-0.0123287,0.01552597,0.01376018,0.02225633,0.01078317,0.01131079,0.01488441,0.02963311,0.07709581,0.06864876,0.08467746
10/02/2017,0.01511502,0.01029029,0.02178006,0.02466558,0.01913847,-0.00193885,0.03289012,0.01106909,0.00048613,0.02204585,0.03733395,0.02070374,-0.00980799,0.02518066, -   ,0.03261477,-0.00896287,0.01160847,0.00939524,0.02602538,0.025452,0.0035472,-0.02434626,0.01493256,0.01852853,0.07199979
13/02/2017,0.01268025,0.01201364,0.01983772,0.01617325,0.02343513,-0.00866757,0.03105477,0.01056464,-0.01220231,-0.0191052,0.0363748,0.0165485,0.01905954,0.03464326,0.01616847,0.02558321,-0.01741297,0.01241366,0.00653268,0.05283468,0.01605511,0.02272132,0.00643974,0.00480538,0.03336963,-0.01459861
